"genre","box_office","roi"
"Action","60562933","148"
"Adventure","99710766","186"
"Animation","97811195","226"
"Comedy","25973484","152"
"Crime","25105264","101"
"Documentary","687751","40"
"Drama","14759094","103"
"Family","68480381","185"
"Fantasy","60351874","166"
"History","21568347","56"
"Horror","8771855","136"
"Music","16286729","135"
"Mystery","21608123","112"
"Romance","24585650","147"
"Science Fiction","55629096","165"
"Thriller","24514370","112"
"War","27808328","92"
"Western","15544277","53"
