"genre","budget","roi"
"Action","24444537","148"
"Adventure","34872500","186"
"Animation","30026762","226"
"Comedy","10324575","152"
"Crime","12462465","101"
"Documentary","492816","40"
"Drama","7267722","103"
"Family","24067814","185"
"Fantasy","22668292","166"
"History","13794530","56"
"Horror","3719803","136"
"Music","6929761","135"
"Mystery","10174374","112"
"Romance","9947827","147"
"Science Fiction","21009501","165"
"Thriller","11547608","112"
"War","14511891","92"
"Western","10128275","53"
